"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group","ligand_module","receptor_module"
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Gpc6","Lrp1","Gpc6_Lrp1","Gpc6_Lrp1_Fibroblasts_Fibroblasts",0.795413669064748,0.892086330935252,0.814503415659485,0.952706253284288,0.589070553236222,1.001,1.001,1,0.886404231284685,"age30m","brown",NA
"age30m-age3m","age30m","EndothelialCells","Leukocytes","Jam2","Itgav","Jam2_Itgav","Jam2_Itgav_EndothelialCells_Leukocytes",0.712904676258993,0.823291366906475,0.641093011035208,0.647924330005255,1.001,1.001,0.90163807855711,1,0.886040795110012,"age30m","brown",NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Plekho2","Pdgfrb","Plekho2_Pdgfrb","Plekho2_Pdgfrb_Leukocytes_Fibroblasts",0.716726618705036,0.830035971223022,0.898581187598529,0.970572779821335,0.605654325841215,1.001,1.001,1,0.885935434085862,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Hspg2","Lrp1","Hspg2_Lrp1","Hspg2_Lrp1_Fibroblasts_Fibroblasts",0.835206834532374,0.919514388489209,0.814503415659485,0.952706253284288,0.641836453316915,0.909977674391906,1.001,1,0.885629928948583,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Wnt11","Fzd7","Wnt11_Fzd7","Wnt11_Fzd7_Fibroblasts_Fibroblasts",0.71919964028777,0.837679856115108,0.734629532317394,0.771150814503416,0.779891423006134,1.001,1.001,1,0.885536890769663,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Apoe","Trem2","Apoe_Trem2","Apoe_Trem2_Leukocytes_Leukocytes",0.759892086330935,0.870503597122302,0.777193904361534,0.820809248554913,0.696607526068044,1.001,1.001,1,0.885467824042148,"age30m",NA,NA
"age30m-age3m","age30m","Myocytes","Fibroblasts","Fgf12","Fgfr1","Fgf12_Fgfr1","Fgf12_Fgfr1_Myocytes_Fibroblasts",0.858363309352518,0.83408273381295,0.783236994219653,0.923016290068313,0.611177892494563,1.001,1.001,1,0.885421259370213,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Ahsg","Insr","Ahsg_Insr","Ahsg_Insr_Fibroblasts_Fibroblasts",0.806879496402878,0.914568345323741,0.784550709406201,0.827115081450342,0.639590890258404,1.001,1.001,1,0.884691284424997,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Wnt9a","Fzd8","Wnt9a_Fzd8","Wnt9a_Fzd8_Fibroblasts_Fibroblasts",0.860611510791367,0.959757194244604,0.780609563846558,0.791119285338938,0.615072443195542,1.001,0.994769225335993,1,0.884481740940378,"age30m",NA,NA
"age30m-age3m","age30m","Myocytes","Fibroblasts","Aimp1","Ntrk1","Aimp1_Ntrk1","Aimp1_Ntrk1_Myocytes_Fibroblasts",0.78125,0.808453237410072,0.904624277456647,0.966368891224383,0.573842377668657,1.001,1.001,1,0.884365096785701,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Tnxb","Itgav","Tnxb_Itgav","Tnxb_Itgav_Fibroblasts_Fibroblasts",0.816097122302158,0.967176258992806,0.776142932212296,0.895165528113505,0.576301807286071,1.001,1.001,1,0.884265454682742,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Mmp14","Adam9","Mmp14_Adam9","Mmp14_Adam9_Fibroblasts_Fibroblasts",0.670188848920863,0.804856115107914,0.879663688912244,0.955859169732002,0.648000736601542,1.001,1.001,1,0.884214107989676,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","EndothelialCells","Lgals3","Eng","Lgals3_Eng","Lgals3_Eng_Leukocytes_EndothelialCells",0.505845323741007,0.449190647482014,0.795060430898581,0.948502364687336,0.953545210544409,1.001,1.001,1,0.884140765658146,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","EndothelialCells","Tgfb1","Itgb1","Tgfb1_Itgb1","Tgfb1_Itgb1_Leukocytes_EndothelialCells",0.882868705035971,0.930305755395683,0.527588018917499,0.260115606936416,1.001,1.001,1.001,1,0.883906507190464,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Tgfb3","Tgfbr2","Tgfb3_Tgfbr2","Tgfb3_Tgfbr2_Fibroblasts_Fibroblasts",0.64523381294964,0.705935251798561,0.730425643720441,0.854440357330531,0.86154624768789,1.001,0.9725641509851,1,0.883854655262096,"age30m",NA,NA
"age30m-age3m","age30m","EndothelialCells","EndothelialCells","Bmp4","Bmpr2","Bmp4_Bmpr2","Bmp4_Bmpr2_EndothelialCells_EndothelialCells",0.91591726618705,0.992805755395683,0.559642669469259,0.54282711508145,0.795402089812943,1.001,1.001,1,0.883833082146611,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Tgfb1","Itgav","Tgfb1_Itgav","Tgfb1_Itgav_Leukocytes_Leukocytes",0.882868705035971,0.930305755395683,0.641093011035208,0.647924330005255,0.848288700468806,1.001,0.90163807855711,1,0.883670446626996,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Negr1","Negr1","Negr1_Negr1","Negr1_Negr1_Fibroblasts_Fibroblasts",0.746627697841727,0.718974820143885,0.801366263794009,0.770362585391487,0.780539587956489,1.001,1.001,1,0.883534211923674,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Ccl9","Ccr1","Ccl9_Ccr1","Ccl9_Ccr1_Leukocytes_Leukocytes",0.69761690647482,0.746178057553957,0.671571203363111,0.65055176037835,0.915989239126873,1.001,1.001,1,0.883491367168665,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Bmp4","Bmpr1a","Bmp4_Bmpr1a","Bmp4_Bmpr1a_Fibroblasts_Fibroblasts",0.494379496402878,0.395458633093525,0.834471886495008,0.932475039411456,0.97922279011706,0.990597520991779,1.001,1,0.883202139801712,"age30m","yellow",NA
"age30m-age3m","age30m","EndothelialCells","Fibroblasts","Vwf","Itgav","Vwf_Itgav","Vwf_Itgav_EndothelialCells_Fibroblasts",0.775404676258993,0.871852517985611,0.776142932212296,0.895165528113505,0.637102554817948,1.001,1.001,1,0.883064230350525,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","EndothelialCells","Tnfsf9","Traf2","Tnfsf9_Traf2","Tnfsf9_Traf2_Leukocytes_EndothelialCells",0.764838129496403,0.744604316546763,0.634787178139779,0.649500788229112,0.927506788040717,1.001,0.97294754039235,1,0.883053255773182,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Cfh","Cfb","Cfh_Cfb","Cfh_Cfb_Leukocytes_Leukocytes",0.79136690647482,0.82261690647482,0.987125591171834,0.998949027850762,0.69928674724229,0.796278508614442,1.001,1,0.882765745307142,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Col5a1","Ddr2","Col5a1_Ddr2","Col5a1_Ddr2_Fibroblasts_Fibroblasts",0.755620503597122,0.878597122302158,0.761692065160273,0.874934314240673,0.657201543114906,1.001,1.001,1,0.882437257627503,"age30m",NA,NA
"age30m-age3m","age30m","Myocytes","EndothelialCells","Nppa","Npr2","Nppa_Npr2","Nppa_Npr2_Myocytes_EndothelialCells",0.888714028776978,0.818794964028777,0.684445612191277,0.738833420914346,0.726601703553215,1.001,1.001,1,0.882332619418151,"age30m","brown",NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Cfh","Cfb","Cfh_Cfb","Cfh_Cfb_Leukocytes_Fibroblasts",0.79136690647482,0.82261690647482,0.972674724119811,0.991066736731477,0.772286920341613,0.796278508614442,0.935204931842094,1,0.882105499616435,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Inhba","Acvr1","Inhba_Acvr1","Inhba_Acvr1_Fibroblasts_Fibroblasts",0.826214028776978,0.928057553956835,0.812926957435628,0.901996847083552,0.680142409351962,1.001,0.876734851761657,1,0.882079159123353,"age30m",NA,NA
