"sender","receiver","ligand","receptor","contrasts_active","n_contrasts","max_aupr_corrected","aupr_sender_ct"
"Fibroblasts","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Itgb3","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Fibroblasts","Postn","Ptk7","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Leukocytes","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Fibroblasts","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Leukocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","EndothelialCells","Postn","Itgav","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","EndothelialCells","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Leukocytes","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"Myocytes","Myocytes","Postn","Itgb5","age30m-age3m",1,0.00109579134037307,"Fibroblasts"
"EndothelialCells","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","Leukocytes","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","Fibroblasts","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","EndothelialCells","Epha4","Fgfr3","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Fibroblasts","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","Leukocytes","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"Myocytes","EndothelialCells","Epha4","Fgfr1","age30m-age3m",1,0.000457782882912389,"EndothelialCells"
"EndothelialCells","Fibroblasts","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Leukocytes","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Fibroblasts","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Fibroblasts","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Fibroblasts","Hbegf","Erbb2","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Leukocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Fibroblasts","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Leukocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","EndothelialCells","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Leukocytes","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Fibroblasts","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Fibroblasts","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Fibroblasts","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","EndothelialCells","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Fibroblasts","Hbegf","Erbb2","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Leukocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Leukocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","EndothelialCells","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Fibroblasts","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","EndothelialCells","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Myocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Leukocytes","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Myocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Fibroblasts","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","Myocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Leukocytes","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Fibroblasts","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Fibroblasts","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Fibroblasts","Hbegf","Erbb2","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Leukocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Leukocytes","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Leukocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","EndothelialCells","Hbegf","Cd82","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Myocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Fibroblasts","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","EndothelialCells","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"EndothelialCells","EndothelialCells","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","EndothelialCells","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Leukocytes","Hbegf","Egfr","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Myocytes","Hbegf","Cd44","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Myocytes","Myocytes","Hbegf","Cd9","age30m-age3m",1,0.000448887770580743,"EndothelialCells"
"Fibroblasts","Myocytes","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Fibroblasts","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Fibroblasts","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Leukocytes","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Itga1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Itga6","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Fibroblasts","Lama2","Itga1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Fibroblasts","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Leukocytes","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Fibroblasts","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Leukocytes","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Myocytes","Lama2","Itga7","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Leukocytes","Lama2","Itgb4","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Leukocytes","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Myocytes","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Myocytes","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","EndothelialCells","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Fibroblasts","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Myocytes","Lama2","Itga6","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Fibroblasts","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Leukocytes","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Itga1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Itga6","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Fibroblasts","Lama2","Itga1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Fibroblasts","Myocytes","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Leukocytes","Lama2","Itgb4","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Fibroblasts","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Leukocytes","Lama2","Dag1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Itga9","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Fibroblasts","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Leukocytes","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Leukocytes","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","Myocytes","Lama2","Itgb1","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"Myocytes","EndothelialCells","Lama2","Rpsa","age30m-age3m",1,0.000410870089672555,"Fibroblasts"
"EndothelialCells","Fibroblasts","Mmrn2","Cd248","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","EndothelialCells","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","EndothelialCells","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Fibroblasts","Mmrn2","Cd248","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","Leukocytes","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","Leukocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","EndothelialCells","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","EndothelialCells","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Leukocytes","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Leukocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","Myocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","Fibroblasts","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Myocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"EndothelialCells","Fibroblasts","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Fibroblasts","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Fibroblasts","Mmrn2","Cd248","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Fibroblasts","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","EndothelialCells","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","EndothelialCells","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Leukocytes","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Leukocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Myocytes","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Fibroblasts","Mmrn2","Cd93","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Fibroblasts","Fibroblasts","Mmrn2","Clec14a","age30m-age3m",1,0.000330476723621225,"EndothelialCells"
"Leukocytes","Leukocytes","Osm","Lifr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","EndothelialCells","Osm","Il6st","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","EndothelialCells","Osm","Osmr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Fibroblasts","Osm","Osmr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Fibroblasts","Osm","Il6st","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Leukocytes","Osm","Il6st","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","EndothelialCells","Osm","Lifr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Fibroblasts","Osm","Lifr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Myocytes","Osm","Lifr","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Leukocytes","Myocytes","Osm","Il6st","age30m-age3m",1,0.000201689444712854,"Leukocytes"
"Fibroblasts","Fibroblasts","Nrxn2","Nlgn2","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","EndothelialCells","Nrxn2","Nlgn2","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Fibroblasts","Nrxn2","Fgfrl1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Fibroblasts","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","EndothelialCells","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Leukocytes","Nrxn2","Siglece","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Leukocytes","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Fibroblasts","Nrxn2","Nlgn3","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Fibroblasts","Nrxn2","Nlgn2","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","EndothelialCells","Nrxn2","Nlgn2","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Fibroblasts","Nrxn2","Fgfrl1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Fibroblasts","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","EndothelialCells","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Leukocytes","Nrxn2","Siglece","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Leukocytes","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Fibroblasts","Myocytes","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Myocytes","Myocytes","Nrxn2","Dag1","age30m-age3m",1,0.000192539445719121,"Fibroblasts"
"Leukocytes","Fibroblasts","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Fibroblasts","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Fibroblasts","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Fibroblasts","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Leukocytes","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Leukocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Fibroblasts","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Fibroblasts","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","EndothelialCells","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Fibroblasts","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Fibroblasts","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Leukocytes","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Fibroblasts","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Fibroblasts","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Leukocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Fibroblasts","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Fibroblasts","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Leukocytes","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","EndothelialCells","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Leukocytes","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Leukocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Leukocytes","Pf4","Ldlr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Leukocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","EndothelialCells","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","EndothelialCells","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Leukocytes","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Leukocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","EndothelialCells","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Leukocytes","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Leukocytes","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Myocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Leukocytes","Myocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Leukocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","EndothelialCells","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Leukocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Myocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","EndothelialCells","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Leukocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","EndothelialCells","Pf4","Procr","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Myocytes","Myocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Myocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Myocytes","Pf4","Sdc2","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Myocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"EndothelialCells","Myocytes","Pf4","Thbd","age30m-age3m",1,0.000139084154281317,"Fibroblasts"
"Fibroblasts","Leukocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","Leukocytes","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","Fibroblasts","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","EndothelialCells","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","Leukocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","Leukocytes","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","Leukocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","Leukocytes","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","Fibroblasts","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","Fibroblasts","Rarres2","Cmklr1","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","EndothelialCells","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","EndothelialCells","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","Fibroblasts","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","Myocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","Fibroblasts","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"EndothelialCells","Myocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","Fibroblasts","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Leukocytes","Myocytes","Rarres2","Ccrl2","age30m-age3m",1,0.000123994014856098,"Fibroblasts"
"Fibroblasts","Leukocytes","Angpt1","Itga5","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","EndothelialCells","Angpt1","Tek","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Fibroblasts","Angpt1","Itga5","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Leukocytes","Angpt1","Tek","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","EndothelialCells","Angpt1","Tie1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Leukocytes","Angpt1","Tie1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","EndothelialCells","Angpt1","Itgb1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Fibroblasts","Angpt1","Tek","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","EndothelialCells","Angpt1","Itga5","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Leukocytes","Angpt1","Itgb1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Fibroblasts","Angpt1","Tie1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Fibroblasts","Angpt1","Itgb1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Fibroblasts","Myocytes","Angpt1","Tie1","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Myocytes","Leukocytes","Angpt1","Itga5","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
"Myocytes","EndothelialCells","Angpt1","Tek","age30m-age3m",1,8.51437418224674e-05,"Fibroblasts"
