"celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database","n_overlap_genes","overlap_hit_genes","go_source","hub_hit_genes"
"EndocardialCells","GO:0001525","angiogenesis","29/309","497/13010",0.0583501006036217,2.45674695421721,5.16492273875679,7.54822253868861e-06,0.000572085052408981,0.000519598574756239,"Amot/Amotl1/Bmpr1a/Cd59a/Cfh/Cgnl1/Creb3l1/Ctnnd1/Cyp1b1/Dcn/Ecscr/Emcn/Eng/Ephb4/Epn1/Foxc1/Gata4/Hand2/Hspg2/Mmrn2/Npr3/Nrp1/Pecam1/Pf4/Plxnd1/Smad5/Stab1/Tie1/Vegfa",29,"brown","GO_BP",13,"Bmpr1a/Cd59a/Cfh/Dcn/Eng/Ephb4/Hspg2/Nrp1/Pecam1/Pf4/Stab1/Tie1/Vegfa","GO_BP (subset con hub genes)","Cfh/Eng/Pf4"
"Myocytes","GO:0009259","ribonucleotide metabolic process","29/516","308/13010",0.0941558441558442,2.37396808617739,4.9592043715359,1.44561359182669e-05,0.00071135453239368,0.000677847521526392,"Adnp/Ak1/Arl2/Atic/Atp1a2/Eno3/Entpd4/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt3/Nudt4/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Tpi1",29,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0030198","extracellular matrix organization","20/309","279/13010",0.0716845878136201,3.01817633480646,5.31510918542223,1.13993885565702e-05,0.000807621897953527,0.000733525872335821,"Ccdc80/Creb3l1/Crispld2/Cyp1b1/Dpt/Efemp2/Eng/Foxc1/Hmcn1/Hspg2/Lamb1/Lamb2/Lamc1/Ltbp4/Mfap4/Nphp3/Phldb2/Prdx4/Smoc1/Tie1",20,"brown","GO_BP",4,"Eng/Hspg2/Lamc1/Tie1","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0045229","external encapsulating structure organization","20/309","279/13010",0.0716845878136201,3.01817633480646,5.31510918542223,1.13993885565702e-05,0.000807621897953527,0.000733525872335821,"Ccdc80/Creb3l1/Crispld2/Cyp1b1/Dpt/Efemp2/Eng/Foxc1/Hmcn1/Hspg2/Lamb1/Lamb2/Lamc1/Ltbp4/Mfap4/Nphp3/Phldb2/Prdx4/Smoc1/Tie1",20,"brown","GO_BP",4,"Eng/Hspg2/Lamc1/Tie1","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0043062","extracellular structure organization","20/309","280/13010",0.0714285714285714,3.00739713361073,5.29639481910698,1.20156412543856e-05,0.000833169677617929,0.00075672974708471,"Ccdc80/Creb3l1/Crispld2/Cyp1b1/Dpt/Efemp2/Eng/Foxc1/Hmcn1/Hspg2/Lamb1/Lamb2/Lamc1/Ltbp4/Mfap4/Nphp3/Phldb2/Prdx4/Smoc1/Tie1",20,"brown","GO_BP",4,"Eng/Hspg2/Lamc1/Tie1","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0009152","purine ribonucleotide biosynthetic process","16/516","120/13010",0.133333333333333,3.36175710594315,5.28196418281942,2.03555459787726e-05,0.000964089546419618,0.000918677930357764,"Ak1/Atic/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Sdha/Sdhd",16,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0016525","negative regulation of angiogenesis","11/309","95/13010",0.115789473684211,4.87514903764265,5.91269185550496,1.50289502209547e-05,0.000985779228645772,0.000895337992264954,"Amot/Cd59a/Creb3l1/Ctnnd1/Dcn/Ecscr/Epn1/Foxc1/Pf4/Stab1/Tie1",11,"brown","GO_BP",5,"Cd59a/Dcn/Pf4/Stab1/Tie1","GO_BP (subset con hub genes)","Pf4"
"EndocardialCells","GO:0006956","complement activation","7/309","35/13010",0.2,8.42071197411003,6.85658955489149,1.51239525720431e-05,0.000985779228645772,0.000895337992264954,"C1qb/C1qc/C4b/Cd59a/Cfh/Cfp/Colec11",7,"brown","GO_BP",4,"C1qb/C4b/Cd59a/Cfh","GO_BP (subset con hub genes)","C1qb/Cfh"
"Myocytes","GO:0019693","ribose phosphate metabolic process","29/516","316/13010",0.0917721518987342,2.31386762829948,4.80498419610488,2.34260537177193e-05,0.00108245509190779,0.00103146809052346,"Adnp/Ak1/Arl2/Atic/Atp1a2/Eno3/Entpd4/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt3/Nudt4/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Tpi1",29,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndothelialCells","GO:0008015","blood circulation","21/197","463/13010",0.0453563714902808,2.99536240146474,5.42090739013019,7.21579262112276e-06,0.00114351324116845,0.00101420863599936,"Actc1/Adra2c/Cacna2d1/Camk2n1/Cav1/Cd36/Comt/Dmd/Fgfbp3/Gsn/Myl7/Nppa/Npr1/Npy1r/Smad6/Smpd3/Svep1/Tgfb1/Thra/Tnni3/Tnnt2",21,"brown","GO_BP",4,"Cd36/Nppa/Npr1/Tgfb1","GO_BP (subset con hub genes)","Cd36"
"EndocardialCells","GO:2000181","negative regulation of blood vessel morphogenesis","11/309","97/13010",0.11340206185567,4.77463050078404,5.82008027817583,1.83554831553496e-05,0.00117295136477028,0.00106533784587911,"Amot/Cd59a/Creb3l1/Ctnnd1/Dcn/Ecscr/Epn1/Foxc1/Pf4/Stab1/Tie1",11,"brown","GO_BP",5,"Cd59a/Dcn/Pf4/Stab1/Tie1","GO_BP (subset con hub genes)","Pf4"
"Myocytes","GO:0006457","protein folding","19/516","164/13010",0.115853658536585,2.92103894876158,5.03118390322989,2.69629441936949e-05,0.00123087464517964,0.00117289662123492,"Arl2/Bag1/Cd74/Cryab/Dnaja2/Fkbp4/Hspa9/Hspb2/Hspd1/Mettl21a/Mkks/Nppa/Pdcd5/Pfdn1/Pfdn2/Pfdn5/Sh3glb1/Snrnp70/Tbca",19,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:1901343","negative regulation of vasculature development","11/309","98/13010",0.112244897959184,4.72590978138828,5.77471895084256,2.02455786317705e-05,0.00126885270694116,0.00115244062980848,"Amot/Cd59a/Creb3l1/Ctnnd1/Dcn/Ecscr/Epn1/Foxc1/Pf4/Stab1/Tie1",11,"brown","GO_BP",5,"Cd59a/Dcn/Pf4/Stab1/Tie1","GO_BP (subset con hub genes)","Pf4"
"Myocytes","GO:0008016","regulation of heart contraction","20/516","179/13010",0.111731843575419,2.81711489324845,4.97478948573586,2.83501831960858e-05,0.00127879576345201,0.00121856050579667,"Adm/Atp1a2/Cav3/Csrp3/Gata4/Gnao1/Mybpc3/Myh6/Myl4/Nkx2-5/Nppa/Pln/Popdc2/Rangrf/Smad7/Tbx5/Tmem65/Tnni3/Tnnt2/Tpm1",20,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"SmoothMuscleCells","GO:0042692","muscle cell differentiation","41/546","451/13010",0.0909090909090909,2.16616716616717,5.2754694001983,2.60082334552339e-06,0.00142297547291948,0.00132641990621693,"Adm/C3/Cfh/Cflar/Col6a1/Dmd/Ednrb/Fbxo22/Foxo4/Gata6/Hand2/Ift20/Kat2a/Kcnj8/Lama2/Lamb1/Nebl/Nppa/Pbrm1/Pdgfrb/Pld3/Ramp2/Rcan1/Rora/Rpl11/Rpl23/Rpl27a/Rpl30/Rpl36a/Rpl37/Rpl38/Rpl39/Rpl41/Rplp2/Sgcb/Smad6/Tbx18/Tcap/Tgfb1/Tmod3/Uchl1",41,"brown","GO_BP",6,"C3/Cfh/Ednrb/Nppa/Pdgfrb/Tgfb1","GO_BP (subset con hub genes)","C3"
"EndothelialCells","GO:0006959","humoral immune response","11/197","141/13010",0.0780141843971631,5.15210425891925,6.1466015736571,9.61585879840421e-06,0.00144766754209975,0.00128397019850271,"C1qa/C1qc/C4b/Ccl6/Ccl7/Fau/Il1b/Pf4/Ppbp/Rpl39/S100a9",11,"brown","GO_BP",4,"C4b/Ccl6/Il1b/Pf4","GO_BP (subset con hub genes)","C4b/Ccl6"
"EndocardialCells","GO:0008217","regulation of blood pressure","14/309","160/13010",0.0875,3.68406148867314,5.3282320043042,2.76600847633564e-05,0.00166933733784775,0.00151618242406546,"Abcc9/Camk2n1/Ece1/Eng/F2r/Kcnj8/Lrp5/Myh6/Nisch/Nppa/Npr3/Ptgs1/Rps6ka2/Tnni3",14,"brown","GO_BP",5,"Ece1/Eng/F2r/Lrp5/Nppa","GO_BP (subset con hub genes)","Ece1/Eng"
"SmoothMuscleCells","GO:0035886","vascular associated smooth muscle cell differentiation","9/546","32/13010",0.28125,6.70157967032967,6.75858623614955,4.46272742439893e-06,0.00195333579365941,0.00182079278915476,"Adm/C3/Cfh/Gata6/Pbrm1/Pdgfrb/Ramp2/Sgcb/Smad6",9,"brown","GO_BP",3,"C3/Cfh/Pdgfrb","GO_BP (subset con hub genes)","C3"
"EndothelialCells","GO:0003013","circulatory system process","21/197","489/13010",0.0429447852760736,2.83609977889197,5.13169524311426,1.65144925711539e-05,0.00236786367294021,0.00210011366681791,"Actc1/Adra2c/Cacna2d1/Camk2n1/Cav1/Cd36/Comt/Dmd/Fgfbp3/Gsn/Myl7/Nppa/Npr1/Npy1r/Smad6/Smpd3/Svep1/Tgfb1/Thra/Tnni3/Tnnt2",21,"brown","GO_BP",4,"Cd36/Nppa/Npr1/Tgfb1","GO_BP (subset con hub genes)","Cd36"
"EndocardialCells","GO:0090257","regulation of muscle system process","17/309","236/13010",0.0720338983050847,3.03288354999726,4.91572167805855,4.89635192620809e-05,0.00275124326336417,0.00249882787958206,"Agrn/Dbn1/Dmd/Ece1/F2r/Gata4/Gsn/Hand2/Nppa/Npr3/Ptgs1/Rem1/Sln/Tnnc1/Tnni3/Tnnt2/Trip10",17,"brown","GO_BP",3,"Ece1/F2r/Nppa","GO_BP (subset con hub genes)","Ece1"
"Myocytes","GO:0009117","nucleotide metabolic process","33/516","405/13010",0.0814814814814815,2.05440712029859,4.38087108487049,7.20010731414476e-05,0.00284179235555151,0.00270793509731541,"Adnp/Ak1/Arl2/Atic/Atp1a2/Eno3/Entpd4/Got2/Idh2/Ldhb/Mfn1/Myh6/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Nudt3/Nudt4/Pgam2/Prkaca/Rhoq/Sdha/Sdhd/Slc25a11/Tpi1",33,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Fibroblasts","GO:0071731","response to nitric oxide","5/226","21/13010",0.238095238095238,13.7062789717657,7.74788151506862,2.45382888397553e-05,0.00284266638405166,0.00258595813157422,"Aqp1/Ccl19/Dpep1/Egln1/Mb",5,"brown","GO_BP",1,"Ccl19","GO_BP (subset con hub genes)","Ccl19"
"EndocardialCells","GO:0048844","artery morphogenesis","9/309","73/13010",0.123287671232877,5.19084984705413,5.60052809760894,5.47114573995316e-05,0.00298802485819077,0.00271388572575781,"Bmpr1a/Efemp2/Eng/Ephb4/Foxc1/Hand2/Nrp1/Pkd2/Vegfa",9,"brown","GO_BP",5,"Bmpr1a/Eng/Ephb4/Nrp1/Vegfa","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0003279","cardiac septum development","11/309","109/13010",0.100917431192661,4.24898310620231,5.31289524600707,5.50111971437393e-05,0.00298802485819077,0.00271388572575781,"Ap2b1/Bmpr1a/Eng/Gata4/Kcnj8/Nphp3/Nrp1/Plxnd1/Sav1/Tbx5/Zfpm2",11,"brown","GO_BP",3,"Bmpr1a/Eng/Nrp1","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0009260","ribonucleotide biosynthetic process","16/516","134/13010",0.119402985074627,3.01052875159088,4.75409942530441,7.99808919333061e-05,0.00312420205706492,0.00297704242356202,"Ak1/Atic/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Sdha/Sdhd",16,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0060840","artery development","11/309","110/13010",0.1,4.21035598705502,5.27396105784994,5.98522798310094e-05,0.00314610612853644,0.00285746368225464,"Ap2b1/Bmpr1a/Efemp2/Eng/Ephb4/Foxc1/Hand2/Nrp1/Pkd2/Plxnd1/Vegfa",11,"brown","GO_BP",5,"Bmpr1a/Eng/Ephb4/Nrp1/Vegfa","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0006164","purine nucleotide biosynthetic process","17/516","149/13010",0.114093959731544,2.87667134904532,4.68209310632064,8.58701524261697e-05,0.00328648492467431,0.00313168126338928,"Ak1/Atic/Idh2/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Sdha/Sdhd",17,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0046390","ribose phosphate biosynthetic process","16/516","141/13010",0.113475177304965,2.86106987739843,4.51539650597142,0.00014686407461426,0.00540260173508187,0.0051481223906685,"Ak1/Atic/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Sdha/Sdhd",16,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"Fibroblasts","GO:1901342","regulation of vasculature development","15/226","267/13010",0.0561797752808989,3.23406582479865,4.90409133099374,6.65314445620872e-05,0.00572550602917162,0.0052084616600034,"Aqp1/Ccl24/Csprs/Cx3cr1/Dcn/Egln1/Fbln5/Foxo4/Kdr/Pf4/Pparg/Rapgef3/Tgfb1/Tie1/Tjp1",15,"brown","GO_BP",5,"Dcn/Kdr/Pf4/Tgfb1/Tie1","GO_BP (subset con hub genes)","Dcn"
"Myocytes","GO:1901293","nucleoside phosphate biosynthetic process","23/516","251/13010",0.0916334661354582,2.31037091942308,4.2600906966701,0.000165553970277975,0.00597413327031664,0.00569273301306721,"Ak1/Atic/Dld/Dlst/Idh2/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Pdha1/Pdhb/Pdk2/Sdha/Sdhd/Vdac1",23,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0003230","cardiac atrium development","6/309","34/13010",0.176470588235294,7.43003997715591,5.85551302935222,0.000131219207600952,0.00636814147703393,0.00578389038724162,"Eng/Gata4/Myh6/Nphp3/Tbx5/Tnnt2",6,"brown","GO_BP",1,"Eng","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0008015","blood circulation","35/516","463/13010",0.0755939524838013,1.90596380196561,4.03392155974713,0.000193335043523276,0.0067828377769416,0.00646334502226936,"Actc1/Adm/Atp1a2/Camk2d/Camk2n1/Cav3/Cd36/Csrp3/Gata4/Gata6/Gnao1/Mkks/Mybpc3/Myh6/Myl1/Myl4/Myl7/Nkx2-5/Nppa/Pln/Popdc2/Rangrf/Sgcg/Smad7/Tbx20/Tbx5/Tcap/Tgfbr3/Tmem65/Tnnc1/Tnni3/Tnnt2/Tpm1/Trdn/Wnk1",35,"brown","GO_BP",3,"Cd36/Nppa/Tgfbr3","GO_BP (subset con hub genes)","Nppa"
"EndothelialCells","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","7/197","65/13010",0.107692307692308,7.11206559937524,6.12524288573651,5.43472788988474e-05,0.00743816621656498,0.00659708356776918,"Ccl6/Ccl7/Fau/Pf4/Ppbp/Rpl39/S100a9",7,"brown","GO_BP",2,"Ccl6/Pf4","GO_BP (subset con hub genes)","Ccl6"
"EndocardialCells","GO:0045765","regulation of angiogenesis","17/309","260/13010",0.0653846153846154,2.75292506845905,4.45325097882595,0.000160838486318321,0.00748818038444868,0.00680117027860328,"Amot/Cd59a/Creb3l1/Ctnnd1/Cyp1b1/Dcn/Ecscr/Eng/Epn1/Foxc1/Gata4/Nrp1/Pf4/Plxnd1/Stab1/Tie1/Vegfa",17,"brown","GO_BP",8,"Cd59a/Dcn/Eng/Nrp1/Pf4/Stab1/Tie1/Vegfa","GO_BP (subset con hub genes)","Eng/Pf4"
"EndocardialCells","GO:0003151","outflow tract morphogenesis","9/309","85/13010",0.105882352941176,4.45802398629355,4.98889572788042,0.000180928842295512,0.00830488869071935,0.00754294891823544,"Bmpr1a/Eng/Foxc1/Gata4/Hand2/Nrp1/Plxnd1/Vegfa/Zfpm2",9,"brown","GO_BP",4,"Bmpr1a/Eng/Nrp1/Vegfa","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0071526","semaphorin-plexin signaling pathway","7/309","51/13010",0.137254901960784,5.77891998223238,5.33348822307321,0.000188108150873097,0.00851450644021422,0.00773333509144956,"Ece1/Hand2/Nrp1/Plxnd1/Sema4c/Sema6d/Tyrobp",7,"brown","GO_BP",2,"Ece1/Nrp1","GO_BP (subset con hub genes)","Ece1"
"EndocardialCells","GO:1901342","regulation of vasculature development","17/309","267/13010",0.0636704119850187,2.68075100299383,4.32818092572805,0.000220721446073109,0.00985385195551046,0.00894980110104663,"Amot/Cd59a/Creb3l1/Ctnnd1/Cyp1b1/Dcn/Ecscr/Eng/Epn1/Foxc1/Gata4/Nrp1/Pf4/Plxnd1/Stab1/Tie1/Vegfa",17,"brown","GO_BP",8,"Cd59a/Dcn/Eng/Nrp1/Pf4/Stab1/Tie1/Vegfa","GO_BP (subset con hub genes)","Eng/Pf4"
"SmoothMuscleCells","GO:1901342","regulation of vasculature development","26/546","267/13010",0.0973782771535581,2.3203138933476,4.56232837394446,5.80564857480659e-05,0.0105880515883035,0.0098696025771712,"Adm/Angpt2/C3/Cd34/Cldn5/Dcn/Ecscr/Emilin1/Foxo4/Fyn/Gata2/Gata6/Itga5/Mdk/Mtdh/Pf4/Ppp1r16b/Pxn/Ramp2/Rtn4/Smad1/Tcf4/Tek/Tgfb1/Tgfbr1/Tnfrsf12a",26,"brown","GO_BP",10,"Angpt2/C3/Cldn5/Dcn/Itga5/Pf4/Rtn4/Tek/Tgfb1/Tgfbr1","GO_BP (subset con hub genes)","C3/Dcn"
"Fibroblasts","GO:0045765","regulation of angiogenesis","14/226","260/13010",0.0538461538461538,3.0997277059224,4.54712984499154,0.000181808412238181,0.0133562667722293,0.0121501231593321,"Aqp1/Ccl24/Csprs/Cx3cr1/Dcn/Egln1/Fbln5/Foxo4/Kdr/Pf4/Pparg/Rapgef3/Tie1/Tjp1",14,"brown","GO_BP",4,"Dcn/Kdr/Pf4/Tie1","GO_BP (subset con hub genes)","Dcn"
"EndocardialCells","GO:0003300","cardiac muscle hypertrophy","10/309","113/13010",0.0884955752212389,3.72597874960621,4.53941173816483,0.000353584652174422,0.0149653556030707,0.0135923450706012,"Csrp3/Ece1/Gata4/Gsn/Hand2/Myh6/Nppa/Tcap/Tiam1/Trip10",10,"brown","GO_BP",2,"Ece1/Nppa","GO_BP (subset con hub genes)","Ece1"
"EndocardialCells","GO:0003209","cardiac atrium morphogenesis","5/309","27/13010",0.185185185185185,7.79695553158336,5.51430801072631,0.000384352319077719,0.0156575525984286,0.0142210358058756,"Eng/Gata4/Myh6/Tbx5/Tnnt2",5,"brown","GO_BP",1,"Eng","GO_BP (subset con hub genes)","Eng"
"SmoothMuscleCells","GO:0007389","pattern specification process","31/546","356/13010",0.0870786516853933,2.07489607770507,4.30394903592937,9.83859396615596e-05,0.0165628945345633,0.0154390243776601,"Apc2/Bcor/Bhlhe40/C3/Chsy1/Ddit3/Dvl2/Efnb1/Ext1/Gli3/Hand2/Heyl/Ifitm1/Ift172/Ift74/Kat2a/Mapk8/Mical2/Mllt3/Pcgf2/Pkd2/Psen2/Smad1/Smad5/Smad6/Snai1/Spry1/Tbx18/Tbx20/Tcap/Tgfbr1",31,"brown","GO_BP",3,"C3/Efnb1/Tgfbr1","GO_BP (subset con hub genes)","C3"
"EndocardialCells","GO:0007517","muscle organ development","18/309","308/13010",0.0584415584415584,2.46059765477241,4.0462446815586,0.000412884003328313,0.0166122094672466,0.0150881067882939,"Abcc9/Actc1/Bmpr1a/Csrp3/Ddx5/Dmd/Efemp2/Eng/Foxc1/Gata4/Myh6/Myl2/Ski/Tcap/Tnnc1/Tnni3/Tnnt2/Zfpm2",18,"brown","GO_BP",2,"Bmpr1a/Eng","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0014897","striated muscle hypertrophy","10/309","116/13010",0.0862068965517241,3.62961723021984,4.43720952885456,0.000436421133648941,0.0171361021031554,0.0155639344048297,"Csrp3/Ece1/Gata4/Gsn/Hand2/Myh6/Nppa/Tcap/Tiam1/Trip10",10,"brown","GO_BP",2,"Ece1/Nppa","GO_BP (subset con hub genes)","Ece1"
"Myocytes","GO:0003013","circulatory system process","35/516","489/13010",0.0715746421267894,1.80462421331304,3.68573474048775,0.000536076577811566,0.0175102944252416,0.0166855050988537,"Actc1/Adm/Atp1a2/Camk2d/Camk2n1/Cav3/Cd36/Csrp3/Gata4/Gata6/Gnao1/Mkks/Mybpc3/Myh6/Myl1/Myl4/Myl7/Nkx2-5/Nppa/Pln/Popdc2/Rangrf/Sgcg/Smad7/Tbx20/Tbx5/Tcap/Tgfbr3/Tmem65/Tnnc1/Tnni3/Tnnt2/Tpm1/Trdn/Wnk1",35,"brown","GO_BP",3,"Cd36/Nppa/Tgfbr3","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0014896","muscle hypertrophy","10/309","117/13010",0.0854700854700855,3.59859486073078,4.4038929470553,0.000467381270698421,0.0179199477788959,0.0162758654266744,"Csrp3/Ece1/Gata4/Gsn/Hand2/Myh6/Nppa/Tcap/Tiam1/Trip10",10,"brown","GO_BP",2,"Ece1/Nppa","GO_BP (subset con hub genes)","Ece1"
"Fibroblasts","GO:0060348","bone development","12/226","206/13010",0.058252427184466,3.35338087464559,4.52684675302236,0.000256768588083246,0.0179857438908543,0.016361533287165,"Bgn/Cfh/Fbln5/Hoxb4/Hspg2/Igf1/Kdr/Ltbp3/Ogn/P2rx5/Tgfb1/Ttc9",12,"brown","GO_BP",5,"Bgn/Cfh/Hspg2/Kdr/Tgfb1","GO_BP (subset con hub genes)","Cfh"
"EndocardialCells","GO:0061564","axon development","23/309","454/13010",0.0506607929515418,2.13299972912479,3.83278375823186,0.000531282057318581,0.0196755480091052,0.0178703964734432,"Ablim1/Agrn/Dbn1/Ece1/Eif4g2/Kremen1/Lamb1/Lamb2/Lamc1/Nrp1/Ntn1/Plxnd1/Raph1/Rpl24/Ryk/Sema4c/Sema6d/Stxbp1/Taok2/Tfap4/Tiam1/Tspan2/Vegfa",23,"brown","GO_BP",4,"Ece1/Lamc1/Nrp1/Vegfa","GO_BP (subset con hub genes)","Ece1"
"Myocytes","GO:0009165","nucleotide biosynthetic process","17/516","176/13010",0.0965909090909091,2.43536381254405,3.89612934382417,0.000632381018391454,0.0199007112144193,0.0189633258227995,"Ak1/Atic/Idh2/Ndufa12/Ndufa3/Ndufa8/Ndufa9/Ndufb3/Ndufb6/Ndufb7/Ndufs1/Ndufs2/Ndufs8/Ndufv2/Nppa/Sdha/Sdhd",17,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0003228","atrial cardiac muscle tissue development","4/309","17/13010",0.235294117647059,9.90671996954121,5.73151955074102,0.000581560546536863,0.0206011502300395,0.0187110784537947,"Eng/Myh6/Tbx5/Tnnt2",4,"brown","GO_BP",1,"Eng","GO_BP (subset con hub genes)","Eng"
"EndocardialCells","GO:0060973","cell migration involved in heart development","4/309","17/13010",0.235294117647059,9.90671996954121,5.73151955074102,0.000581560546536863,0.0206011502300395,0.0187110784537947,"Dchs1/Eng/Hand2/Nrp1",4,"brown","GO_BP",2,"Eng/Nrp1","GO_BP (subset con hub genes)","Eng"
"Myocytes","GO:0060419","heart growth","13/516","116/13010",0.112068965517241,2.82561480887463,4.01365804238381,0.000678893325010426,0.0206052735534985,0.019634701084441,"Adprhl1/Camk2d/Cav3/Gata4/Gata6/Myh6/Nkx2-5/Nppa/Pdlim5/Pim1/Tbx20/Tbx5/Tgfbr3",13,"brown","GO_BP",2,"Nppa/Tgfbr3","GO_BP (subset con hub genes)","Nppa"
"Myocytes","GO:0014888","striated muscle adaptation","8/516","51/13010",0.156862745098039,3.95500835993312,4.29688879207566,0.000820443672875718,0.0232964199147106,0.0221990860822763,"Asb2/Gata4/Gata6/Myh6/Myoz2/Nppa/Tcap/Tnnc1",8,"brown","GO_BP",1,"Nppa","GO_BP (subset con hub genes)","Nppa"
"EndocardialCells","GO:0060041","retina development in camera-type eye","11/309","146/13010",0.0753424657534247,3.17218601764419,4.11687484609703,0.000722197823203544,0.0242643577919624,0.0220382016152834,"Arhgef15/Cfh/Cgnl1/Cyp1b1/Lamb2/Lrp5/Mdm1/Nrp1/Pfdn5/Rpl24/Ski",11,"brown","GO_BP",3,"Cfh/Lrp5/Nrp1","GO_BP (subset con hub genes)","Cfh"
"EndothelialCells","GO:0019730","antimicrobial humoral response","7/197","80/13010",0.0875,5.77855329949239,5.31583904034404,0.000204857315520634,0.0246730150813052,0.0218830740831936,"Ccl6/Ccl7/Fau/Pf4/Ppbp/Rpl39/S100a9",7,"brown","GO_BP",2,"Ccl6/Pf4","GO_BP (subset con hub genes)","Ccl6"
"Fibroblasts","GO:0001501","skeletal system development","19/226","458/13010",0.0414847161572052,2.38812458940372,4.02112447095177,0.000405671027286884,0.0257889234019695,0.0234600432009949,"Bgn/Cfh/Chrd/Cytl1/Fbln5/Hoxb4/Hspg2/Igf1/Kdr/Ltbp3/Lum/Ogn/P2rx5/Pdgfra/Rpl38/Tcf15/Tgfb1/Ttc9/Zeb1",19,"brown","GO_BP",6,"Bgn/Cfh/Hspg2/Kdr/Pdgfra/Tgfb1","GO_BP (subset con hub genes)","Cfh"
"Fibroblasts","GO:0001525","angiogenesis","20/226","497/13010",0.0402414486921529,2.3165541924111,3.97904644003859,0.000422384844772578,0.0257889234019695,0.0234600432009949,"Aqp1/Ccl24/Cfh/Csprs/Cx3cr1/Dcn/Egfl7/Egln1/Fbln5/Foxo4/Hspg2/Kdr/Mmrn2/Pdgfra/Pf4/Pparg/Rapgef3/Tgfb1/Tie1/Tjp1",20,"brown","GO_BP",8,"Cfh/Dcn/Hspg2/Kdr/Pdgfra/Pf4/Tgfb1/Tie1","GO_BP (subset con hub genes)","Cfh/Dcn"
"Fibroblasts","GO:0001654","eye development","16/226","352/13010",0.0454545454545455,2.61665325824618,4.08835371945571,0.000436665037682751,0.0257889234019695,0.0234600432009949,"Aqp1/Bak1/Cfh/Inhbb/Kdr/Mfap2/Mfap5/Nes/Pbx2/Pdgfra/Pfdn5/Rpgrip1/Rpl24/Tgfb1/Twsg1/Zeb1",16,"brown","GO_BP",5,"Cfh/Inhbb/Kdr/Pdgfra/Tgfb1","GO_BP (subset con hub genes)","Cfh"
