,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
EndocardialCells,0.4526665552292475,0.6864121223894909,0.10948112391149536,0.4367482236140038,0.562305237970398,0.15095657681017488,0.036473377149765625,0.24430347873581834
EndothelialCells,0.40936482875718583,0.7063303201557947,0.15274939362828424,0.42483161730089425,0.7287003324717867,0.00011585343678113863,0.0323538585507238,0.04053704385005449
Fibroblasts,0.4658579766445198,0.00438427786212147,0.5819988078571972,0.4440370123895722,0.1119284445013171,0.983818242350835,0.0037943810034326976,0.6671835447214128
Leukocytes,0.3775953802157369,0.052445870657202465,0.16222976523959456,0.27054074120592464,0.17732244674629666,0.00010574846922486578,0.9976639339563321,0.30116325522187454
Myocytes,0.2967617815578189,0.006357336955515617,0.4959616891898827,0.3531001588776867,0.1914303876474979,0.008823122197135966,0.04733423893191095,0.3779387654602563
SmoothMuscleCells,0.42408011766236237,0.16469872522529413,0.594695216083241,0.4834544475831854,0.26868536373072655,0.09610362035534525,0.005887951807199945,0.5099035784077106
