source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
EndothelialCells,Fibroblasts,Hspg2,Ptprs,0.9612237,0.0,0.70805204,0.4603047918278429,0.7770252123799721,0.09348798,0.8179705,0.028541536280802495,0.13036352951750485, ,brown,0.70755077011452,,,True,False,True
SmoothMuscleCells,Fibroblasts,Gas6,Axl,0.94825304,0.0,0.73047686,0.03933117015697757,0.33470167652317173,0.036877904,0.82028025,0.3469137929148121,0.13080212562339422, ,purple,0.246060441720866,brown,0.528957135069456,False,True,True
Myocytes,SmoothMuscleCells,Fndc5,Itgav,1.1107768,0.0,0.7075588,1.6512992297760332,1.5260213637644036,0.18788937,0.8179186,0.002493367578908648,0.13080212562339422, ,brown,0.866327263435725,blue,0.303344082519337,True,False,True
SmoothMuscleCells,Leukocytes,Vtn,Cd47,0.94788086,0.0,0.896607,1.2888429329495823,0.9531733856636522,0.16930334,0.83489263,0.006155138641016261,0.13124141189377858, ,brown,0.715989746853182,,,True,False,True
SmoothMuscleCells,EndocardialCells,Vegfb,Nrp1,1.0204935,0.0,0.70656514,0.388622975035805,0.3406549730616058,0.036751635,0.81781393,0.24356570734037267,0.13138798740060573, ,,,brown,0.550721740569223,False,True,True
Myocytes,Myocytes,Psap,Sort1,0.9477291,0.0,0.845034,0.31553122174213327,0.35457325463951106,0.052914776,0.830769,0.0654468500449369,0.1315346362582976, ,black,0.845409755553706,midnightblue,0.356528030180206,False,True,True
SmoothMuscleCells,Leukocytes,Rarres2,Cmklr1,0.94717634,0.0,0.77332646,0.6708143292312756,0.7379581388533032,0.20310341,0.8244437,0.028541536280802495,0.13241603926883505, ,brown,0.32876448056304,brown,0.708625313340797,True,True,True
SmoothMuscleCells,EndothelialCells,Pdgfb,S1pr1,1.014285,0.0,0.7023719,0.49747638745305406,0.7303415971780427,0.07671478,0.8173701,0.028541536280802495,0.1328577446388267, ,darkorange,0.329367356438579,brown,0.500963498873593,True,True,True
EndocardialCells,EndothelialCells,Sema3f,Nrp1,1.0755241,0.0,0.70130867,0.5587383744321,0.6859713818052233,0.08625615,0.817257,0.028541536280802495,0.13389092219450657, ,,,brown,0.648185002416343,False,True,True
Fibroblasts,Myocytes,Vegfa,Flt1_Kdr,0.14280012,1.0,0.016344894,-0.25857780145387865,-0.5125852844019909,0.0043614763,0.40573055,1.0,0.13417123799995712, ,yellow,0.272486789574581,,,True,False,True
