,sender_loading,receiver_loading
EndocardialCells,0.4526665552292475,0.0003100226465482309
EndothelialCells,0.40936482875718583,0.0016016840569912333
Fibroblasts,0.4658579766445198,0.0005696715753205776
Leukocytes,0.3775953802157369,0.9999981675971695
Myocytes,0.2967617815578189,0.0008021691861569353
SmoothMuscleCells,0.42408011766236237,0.00018787053204790495
