source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
Fibroblasts,Fibroblasts,Wnt5a,Ldlr,0.20231475,0.0,0.040711973,0.1971869732577784,0.4489844697273144,0.11047504,0.5186563,0.07676071310687238,0.803621146445735, ,,,purple,0.317659001931645,False,False,False
Fibroblasts,SmoothMuscleCells,Myoc,Fzd4,0.39499557,0.0,0.15391399,0.2922452882696307,0.5497743205465757,0.2073039,0.6769074,0.028541536280802495,0.8036599751480189, ,,,,,False,False,False
Fibroblasts,EndocardialCells,Efemp2,Aqp1,0.6170669,0.0,0.27969927,0.13593387164434262,0.20681691264630758,0.0458589,0.7385134,0.14374631561608017,0.8036599751480189, ,,,green,0.272106925519139,False,False,False
Leukocytes,Fibroblasts,Adam15,Itgav,0.6703745,0.0,0.42047983,0.14524129957530793,0.232232959397918,0.0553651,0.7759288,0.13030216784067397,0.8036934235468587, ,turquoise,0.724029533744313,,,False,False,False
EndocardialCells,Fibroblasts,Pdgfb,Lrp1,0.8323017,0.0,0.29346368,0.30766550189559205,0.3322232968657921,0.039607726,0.7431252,0.18725542508021506,0.8036934235468587, ,,,,,False,False,False
Myocytes,Fibroblasts,Tgfb1,Itgb5,0.71476436,0.0,0.27969977,0.11564161162947509,0.2410917879082059,0.026226128,0.7385136,0.6403055681892651,0.8039362095272309, ,darkred,0.84402401701177,turquoise,0.646285311150696,False,False,False
EndocardialCells,SmoothMuscleCells,Vegfc,Flt1,0.39495352,0.969,0.15493944,-0.02613376172157604,-0.13458173067552687,0.03826293,0.6776331,1.0,0.8039362095272309, ,,,saddlebrown,0.595935361181972,False,False,False
Fibroblasts,Myocytes,Sparc,Fgfr1,0.82910836,1.0,0.29343927,-0.09003418817820771,-0.25301620079928555,0.016707506,0.7431172,1.0,0.8039915214418456, ,black,0.649519023068726,magenta,0.803121502214596,False,False,False
Fibroblasts,Leukocytes,Angpt1,Itgb1,0.6703233,0.993,0.32662845,-0.04183533799818161,0.10663810627623416,0.024530962,0.7532107,1.0,0.8039915214418456, ,,,,,False,False,False
Myocytes,SmoothMuscleCells,Fadd,Traf2,0.20794076,0.287,0.04071742,0.018344416378543983,-0.022531417532205833,0.028208662,0.51867294,0.8007069737019801,0.8041608989941076, ,grey60,0.779897975963438,darkgrey,0.381124746760684,False,False,False
EndocardialCells,SmoothMuscleCells,Mdk,Sdc3,0.39494783,0.897,0.15348738,-0.013140435862433297,-0.06918116998107848,0.036525015,0.6766038,1.0,0.8042125071974644, ,blue,0.553764207837376,brown,0.642736335442684,False,True,True
EndocardialCells,EndocardialCells,Cxcl12,Itgb1,0.7563168,1.0,0.27971378,-0.34659656052953597,-0.6587818312977027,0.010156636,0.7385184,1.0,0.8042125071974644, ,,,pink,0.572507776572743,False,False,False
EndocardialCells,Myocytes,Copa,Cd74,0.43099615,0.952,0.115543276,-0.07650891639900323,-0.15557339369067155,0.014106106,0.6447913,1.0,0.8042125071974644, ,,,brown,0.670405641257664,False,True,True
Leukocytes,EndothelialCells,Tln1,Itgb5,0.70571566,1.0,0.29335272,-0.00982912044342088,-0.23321890013468993,0.01692168,0.7430891,1.0,0.8042897711193935, ,turquoise,0.305973325210937,,,False,False,False
Fibroblasts,Myocytes,Lamc1,Itga1,0.70731354,0.0,0.11549415,0.1522744264222694,0.13772187277167613,0.016199987,0.64474267,0.9549815877315354,0.8044888681659692, ,brown,0.533218968575482,darkgreen,0.785762693213249,True,False,True
SmoothMuscleCells,Myocytes,Lama2,Itga7_Itgb1,0.5677412,1.0,0.27984345,-0.4172629097191619,-0.35202670427869953,0.022735218,0.7385631,1.0,0.8044888681659692, ,brown,0.472765180178635,,,True,False,True
EndocardialCells,Myocytes,Fn1,Nt5e,0.394745,0.0,0.11783947,0.5336152617626169,0.47836705915990074,0.1450227,0.6470416,0.028541536280802495,0.8044888681659692, ,,,black,0.455520093401554,False,False,False
Leukocytes,Fibroblasts,Tgfb1,Tgfbr1_Tgfbr2,0.67017615,0.0,0.41348758,0.38324117867725116,0.4991478310300023,0.080326915,0.77446765,0.028541536280802495,0.8045879318469542, ,brown,0.780749588439731,,,True,False,True
Myocytes,Myocytes,Adam17,Itga5,0.21308383,1.0,0.040721167,-0.26990837119376854,-0.5048325378338514,0.009120747,0.51868445,1.0,0.8047005631070143, ,magenta,0.772774351318693,magenta,0.871006489400557,False,False,False
Fibroblasts,EndocardialCells,Fn1,Itga6,0.3947428,0.0,0.15393046,0.12701267352481732,0.10976780056906715,0.049564168,0.6769191,0.19229906016461842,0.8047650693117434, ,pink,0.318999323805734,,,False,False,False
EndocardialCells,Fibroblasts,Agrn,Dag1,0.53121257,0.0,0.27986804,0.34177727235763894,0.47384940433412476,0.0719544,0.7385716,0.028541536280802495,0.8047650693117434, ,brown,0.356244589967685,pink,0.439064216849562,True,False,True
Myocytes,Myocytes,Gnai2,S1pr1,0.3947026,1.0,0.13220601,-1.169474637325045,-1.1326345594635063,0.0043504364,0.660064,1.0,0.8050415568474372, ,tan,0.462915726534463,,,True,False,True
SmoothMuscleCells,Leukocytes,S100a9,Cd68,0.76753956,0.0,0.11540541,1.0998812770292303,1.1538560971435647,0.17159295,0.6446545,0.004563747989568326,0.8050415568474372, ,,,turquoise,0.582074888791642,False,False,False
Leukocytes,Fibroblasts,Psen1,Notch2,0.5500152,0.0,0.27996853,0.27114038387004546,0.4352584033030432,0.07007509,0.73860633,0.03465081567657238,0.8050415568474372, ,,,,,False,False,False
EndocardialCells,Leukocytes,Adam17,Itgb1,0.6698023,1.0,0.3255649,-0.1919711576090651,-0.20199336849975463,0.022659369,0.7529075,1.0,0.8051844678556376, ,,,,,False,False,False
Fibroblasts,Fibroblasts,Col4a3,Itga1_Itgb1,0.22639768,1.0,0.040737797,0.0035206746887241347,-0.1512731238385826,0.030756205,0.5187354,1.0,0.8052400843485646, ,,,,,False,False,False
Fibroblasts,SmoothMuscleCells,Bmp4,Lrp6,0.3946567,0.002,0.153047,0.08079116907543099,0.1563160426399099,0.0574089,0.6762894,0.4939114915418876,0.8053181077031457, ,yellow,0.321909400792098,,,True,False,True
Leukocytes,EndocardialCells,Mfng,Notch1,0.7546467,0.0,0.27999586,0.4256507174029041,0.33035296371604944,0.05723311,0.73861575,0.0478405826965171,0.8053181077031457, ,,,darkred,0.343740710918236,False,False,False
Myocytes,Leukocytes,Vcl,Itgb5,0.6696446,0.0,0.43500713,0.13793947794639677,0.13666738364857856,0.038628053,0.77886766,0.2035759248720196,0.8054827227170709, ,,,turquoise,0.76035177467005,False,False,False
SmoothMuscleCells,Fibroblasts,Gpc3,Igf1r,0.39461735,0.0,0.1553459,0.40923934530617845,0.4121822749421243,0.11566566,0.67791927,0.028541536280802495,0.8055944986045823, ,yellow,0.626181888304277,,,True,False,True
Leukocytes,Leukocytes,Dcn,Tlr2,0.5831057,0.0,0.28022787,0.2525471498160179,0.2305672613887687,0.06310802,0.7386956,0.08671277368003898,0.8055944986045823, ,brown,0.644747610735882,turquoise,0.62716224803749,True,False,True
Myocytes,Myocytes,Angptl2,Tie1,0.2766773,1.0,0.04074433,-0.2747895261722651,-0.6487212304306023,0.004980712,0.51875544,1.0,0.8057795716211982, ,tan,0.729352359511854,darkorange,0.249810980800106,True,True,True
EndocardialCells,EndothelialCells,Tnfsf10,Tnfrsf10b,0.66955423,0.0,0.30496544,0.7258026729771934,1.0792489480277054,0.27926102,0.74677736,0.007544599058074926,0.8057811293519688, ,,,,,False,False,False
Leukocytes,Fibroblasts,Osm,Il6st_Osmr,0.39461154,0.0,0.15148376,0.49414098240830895,0.5485393560008345,0.183327,0.6751646,0.028541536280802495,0.8058711760709496, ,darkturquoise,0.510646451812862,,,False,False,False
Fibroblasts,EndothelialCells,Hspa8,Adrb2,0.9150799,1.0,0.28026667,-0.0658635200572404,-0.03502142525720192,0.027791131,0.73870903,1.0,0.8058711760709496, ,black,0.654213880979383,,,False,False,False
Leukocytes,Leukocytes,Il1b,Adrb2,0.6695525,0.0,0.4466442,1.1495552770497803,1.3731398742716188,0.5079801,0.78113276,0.0001761401388744625,0.8060794469011023, ,turquoise,0.52448874583503,,,False,False,False
Fibroblasts,EndocardialCells,Ecm1,Itgb4,0.78078055,0.0,0.2930722,0.7158480762320119,0.8342422483238128,0.20532395,0.7429977,0.0165056722304748,0.8060794469011023, ,,,green,0.614893104200666,False,False,False
EndocardialCells,EndocardialCells,Psap,Sort1,0.8064211,0.802,0.2802715,-0.014751096493613516,-0.0047521394110779935,0.017550183,0.7387107,1.0,0.8061479168790753, ,black,0.705222767139885,purple,0.41595671641234,False,False,False
Myocytes,Fibroblasts,Lama2,Cd44,0.21138424,1.0,0.040744808,-0.1912190772804228,-0.40576818329700315,0.015671475,0.5187569,1.0,0.8063189704801009, ,midnightblue,0.3482443250449,salmon,0.221972228338972,True,False,True
Leukocytes,Myocytes,Grn,Tnfrsf1a,0.8513911,1.0,0.29300407,-0.11847364206681643,-0.17823680201191416,0.011747555,0.74297553,1.0,0.8063779162200211, ,turquoise,0.762103681674157,grey60,0.859814207966047,False,False,False
SmoothMuscleCells,SmoothMuscleCells,Col1a2,Cd93,0.66953284,0.511,0.44030777,-0.004354693517603486,-0.1504435504903796,0.040725484,0.7799089,0.8954794870283159,0.8063779162200211, ,,,,,False,False,False
