,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Adam15^Itgb1,0.045120953435238614,0.12312492825922111,0.05478642186019811,0.0728834563146129,0.10387475303020012,0.04772347365377066,0.10552718796756098,0.016455260602392593
Adam15^Itgb3,1.0959851202817953e-17,0.0036354424916684477,6.972180854253241e-05,0.010200550876033306,0.00654731805679179,0.0027066684673941878,0.0049545684865751815,0.0017508077665833754
Adam17^Il6ra,0.04522112476819793,5.923105766714085e-09,1.7481991856132034e-27,3.5805786177510137e-22,0.012618016696246124,0.0007004440817194788,0.004786917474350406,0.013334302328666114
Adam17^Itga5,0.013204653414584011,0.026292393201153175,0.02073213787888897,0.01049076319361457,0.02398489462625544,0.019747922179214138,0.03407101109364954,0.01613929020119937
Adam17^Itgb1,0.030837980111248435,0.05925457933901342,0.04428416075054097,0.04599517227930651,0.04718732542318285,0.04813078194383799,0.07934664983039187,0.02853599397241097
Adam17^Notch1,0.009900947626610828,0.049643437375011916,0.04288203899502422,0.002332997871081146,0.01801829669534234,0.031384407020420585,0.05343935483499378,0.007141800315224595
Adam17^Rhbdf2,0.011055531416167193,0.016566597937702734,0.01645595404201681,0.005146327510986657,0.003176807739830047,0.008317026178800382,0.018090840581077343,0.003239921786258045
Adam23^Itga4,0.002277093373147741,1.654590135213307e-07,7.361944642659713e-06,3.0985087922644104e-21,9.016015517925958e-05,4.982173183983707e-37,0.0005575912597897802,0.00015740807669834138
Adam23^Itga5,0.000792309294263614,0.0010546497600912436,0.002325320938578706,0.0016057758155005124,0.0016187329614954027,4.041030702359503e-14,0.0027193940134819035,0.0010838724732040563
Adam23^Itgb3,2.5945444991203194e-22,7.342546591428755e-05,3.877883446550998e-19,1.1972706609508932e-13,3.5447419526167674e-07,2.347626017843608e-06,0.0001246979513255817,0.0007939727306031104
Adam9^Itga3,9.9696266200896e-13,0.003801600617975802,0.0059112174729931384,0.012438335130714533,3.57545150892371e-06,0.004709168798274624,0.0067132146494563874,5.5440577141733766e-08
Adam9^Itga6,0.003877610812621746,0.01838106799997748,0.06783996016860049,0.006145980516720655,4.596195420772719e-10,0.001610740304440496,0.027029343622249118,2.062448443133839e-09
Adam9^Itgav,0.023545949027956672,0.004502887392101789,0.00942525648915581,0.03143363455354269,0.01909879539771889,0.010188574359751039,0.02101062591476066,0.04130858351144279
Adam9^Itgb1,0.043604102093745996,0.026048238923617437,0.09472305350617848,0.06935946642911914,0.02528343736197523,0.024480764408157864,0.07056320948658452,0.07029454457393804
Adam9^Itgb5,0.04383858638269801,0.003772703383578869,0.01935327125169364,0.046550559716380134,0.03157786172414756,0.008627419716297236,0.03019720575273768,0.08822506613517167
Adamts3^Ccbe1,4.424677871026277e-05,3.478419081470354e-35,8.701123759514884e-33,1.4504873892337844e-23,1.0273670431861294e-08,0.00029747598921490325,8.161881761826993e-46,0.004966443765460846
Adm^Adcyap1r1,1.0002780096034371e-50,8.360021467044069e-16,6.601162250232222e-31,2.967648018992187e-11,0.010308926941365445,1.916645441996484e-09,9.247558396260752e-22,0.025474092520011798
Adm^Adrb2,0.02609317672100623,0.003308251686037812,0.0068991658127466665,2.9839111056321813e-13,0.0003091951927445237,0.011695761707199673,9.439030725615299e-20,4.3155160275461023e-14
