"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1120","SmoothMuscleCells","GO:0030488","tRNA methylation","1/2","28/13010",0.0357142857142857,232.321428571429,15.1934279096381,0.00429991440325483,0.0143330480108494,NA,"Alkbh8",1,"violet","GO_BP"
"1121","SmoothMuscleCells","GO:0001510","RNA methylation","1/2","51/13010",0.0196078431372549,127.549019607843,11.2276746309654,0.00782505625355201,0.01956264063388,NA,"Alkbh8",1,"violet","GO_BP"
"1122","SmoothMuscleCells","GO:0006400","tRNA modification","1/2","73/13010",0.0136986301369863,89.1095890410959,9.36050990478486,0.0111910816310046,0.0211986707324378,NA,"Alkbh8",1,"violet","GO_BP"
"1123","SmoothMuscleCells","GO:0043414","macromolecule methylation","1/2","83/13010",0.0120481927710843,78.3734939759036,8.76827316332041,0.0127192024394627,0.0211986707324378,NA,"Alkbh8",1,"violet","GO_BP"
"1124","SmoothMuscleCells","GO:0008033","tRNA processing","1/2","112/13010",0.00892857142857143,58.0803571428571,7.52256930134228,0.0171440702466436,0.0233344780108181,NA,"Alkbh8",1,"violet","GO_BP"
"1125","SmoothMuscleCells","GO:0009451","RNA modification","1/2","122/13010",0.00819672131147541,53.3196721311475,7.19919365326279,0.0186675824086545,0.0233344780108181,NA,"Alkbh8",1,"violet","GO_BP"
"1126","SmoothMuscleCells","GO:0032259","methylation","1/2","138/13010",0.0072463768115942,47.1376811594203,6.75622309250348,0.0211027439231007,0.0234474932478897,NA,"Alkbh8",1,"violet","GO_BP"
"1127","SmoothMuscleCells","GO:0006399","tRNA metabolic process","1/2","155/13010",0.00645161290322581,41.9677419354839,6.36214446317413,0.0236867883518704,0.0236867883518704,NA,"Alkbh8",1,"violet","GO_BP"
"1128","EndothelialCells","GO:0030317","flagellated sperm motility","2/6","92/13010",0.0217391304347826,47.1376811594203,9.53918208339051,0.000728407189227365,0.0160253177588798,0.00749722468251685,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1129","EndothelialCells","GO:0097722","sperm motility","2/6","92/13010",0.0217391304347826,47.1376811594203,9.53918208339051,0.000728407189227365,0.0160253177588798,0.00749722468251685,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
