"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1095","Leukocytes","R-MMU-180292","GAB1 signalosome","1/4","13/6819",0.0769230769230769,131.134615384615,11.3774281261251,0.00760564070490366,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1096","Leukocytes","R-MMU-210993","Tie2 Signaling","1/4","15/6819",0.0666666666666667,113.65,10.5808421918365,0.00877187709587635,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1097","Leukocytes","R-MMU-2559585","Oncogene Induced Senescence","1/4","15/6819",0.0666666666666667,113.65,10.5808421918365,0.00877187709587635,0.0402272959079738,0.0149755016858953,"23872",1,"grey60","Reactome"
"1098","Leukocytes","R-MMU-5654708","Downstream signaling of activated FGFR3","1/4","15/6819",0.0666666666666667,113.65,10.5808421918365,0.00877187709587635,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1099","Leukocytes","R-MMU-1295596","Spry regulation of FGF signaling","1/4","16/6819",0.0625,106.546875,10.23954595018,0.0093546096784185,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1100","Leukocytes","R-MMU-5654687","Downstream signaling of activated FGFR1","1/4","16/6819",0.0625,106.546875,10.23954595018,0.0093546096784185,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1101","Leukocytes","R-MMU-5654716","Downstream signaling of activated FGFR4","1/4","16/6819",0.0625,106.546875,10.23954595018,0.0093546096784185,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1102","Leukocytes","R-MMU-432142","Platelet sensitization by LDL","1/4","17/6819",0.0588235294117647,100.279411764706,9.92866611223294,0.00993708528642756,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1103","Leukocytes","R-MMU-5654696","Downstream signaling of activated FGFR2","1/4","17/6819",0.0588235294117647,100.279411764706,9.92866611223294,0.00993708528642756,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1104","Leukocytes","R-MMU-936964","Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)","1/4","17/6819",0.0588235294117647,100.279411764706,9.92866611223294,0.00993708528642756,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
"1105","Leukocytes","R-MMU-6783589","Interleukin-6 family signaling","1/4","18/6819",0.0555555555555556,94.7083333333333,9.64392097252974,0.0105193039954623,0.0402272959079738,0.0149755016858953,"19247",1,"grey60","Reactome"
