"gene_celltype","module","celltype","gene","kME"
"Rgs10_Leukocytes","turquoise","Leukocytes","Rgs10",0.766426691066581
"Gucy1a2_Fibroblasts","turquoise","Fibroblasts","Gucy1a2",0.766389953723976
"Tpt1_Leukocytes","turquoise","Leukocytes","Tpt1",0.76613650269877
"Mapk3_Leukocytes","turquoise","Leukocytes","Mapk3",0.766118240783965
"Rpl31_Leukocytes","turquoise","Leukocytes","Rpl31",0.765721516519075
"Samd14_Fibroblasts","turquoise","Fibroblasts","Samd14",0.76569684563703
"Ubr3_Fibroblasts","turquoise","Fibroblasts","Ubr3",0.765492101047681
"Ahdc1_Fibroblasts","turquoise","Fibroblasts","Ahdc1",0.765138070340355
"Mbtps1_EndothelialCells","turquoise","EndothelialCells","Mbtps1",0.76509336557378
"Snx16_Fibroblasts","turquoise","Fibroblasts","Snx16",0.765028587871522
"Plekhg2_Fibroblasts","turquoise","Fibroblasts","Plekhg2",0.764838003669065
"Tbxas1_Leukocytes","turquoise","Leukocytes","Tbxas1",0.764821751744506
"Blvrb_Leukocytes","turquoise","Leukocytes","Blvrb",0.764810419397744
"Ecscr_EndothelialCells","turquoise","EndothelialCells","Ecscr",0.764692527856779
"Ncoa4_EndothelialCells","turquoise","EndothelialCells","Ncoa4",0.764676009428217
"Yap1_Fibroblasts","turquoise","Fibroblasts","Yap1",0.764214390718698
"Bmf_Fibroblasts","turquoise","Fibroblasts","Bmf",0.763961494736381
"Ergic3_Leukocytes","turquoise","Leukocytes","Ergic3",0.763759436807411
"Lgals3bp_Leukocytes","turquoise","Leukocytes","Lgals3bp",0.763663482437562
"Golga2_EndothelialCells","turquoise","EndothelialCells","Golga2",0.763550988918664
"Jrk_Fibroblasts","turquoise","Fibroblasts","Jrk",0.763530227688615
"Rap1b_Leukocytes","turquoise","Leukocytes","Rap1b",0.763428356258855
"Prune_Fibroblasts","turquoise","Fibroblasts","Prune",0.763333675226964
"Snx5_Leukocytes","turquoise","Leukocytes","Snx5",0.763097116646646
"Frmd4a_Fibroblasts","turquoise","Fibroblasts","Frmd4a",0.763021759309644
"Kif1c_Fibroblasts","turquoise","Fibroblasts","Kif1c",0.762877612796946
"Abhd14b_EndothelialCells","turquoise","EndothelialCells","Abhd14b",0.762862533742539
"Atp1a2_Fibroblasts","turquoise","Fibroblasts","Atp1a2",0.762706431085076
"Tpst2_EndothelialCells","turquoise","EndothelialCells","Tpst2",0.762604817583848
"Scoc_EndothelialCells","turquoise","EndothelialCells","Scoc",0.762391831359265
"Tmem176a_Leukocytes","turquoise","Leukocytes","Tmem176a",0.762387614746784
"Uimc1_Fibroblasts","turquoise","Fibroblasts","Uimc1",0.762317618731025
"Ephb4_Fibroblasts","turquoise","Fibroblasts","Ephb4",0.762259602602951
"Grn_Leukocytes","turquoise","Leukocytes","Grn",0.762103681674157
"Cd163_Leukocytes","turquoise","Leukocytes","Cd163",0.762053840405801
"Fxyd7_Fibroblasts","turquoise","Fibroblasts","Fxyd7",0.761942649293406
"Sirpa_Leukocytes","turquoise","Leukocytes","Sirpa",0.761733552093104
"Tmem106a_Leukocytes","turquoise","Leukocytes","Tmem106a",0.761505333589597
"Dgcr14_EndothelialCells","turquoise","EndothelialCells","Dgcr14",0.761371049583044
"Gmfb_Fibroblasts","turquoise","Fibroblasts","Gmfb",0.761370945072814
"E2f5_Fibroblasts","turquoise","Fibroblasts","E2f5",0.761256400601447
"Mmp15_EndothelialCells","turquoise","EndothelialCells","Mmp15",0.76122525553445
"Nde1_EndothelialCells","turquoise","EndothelialCells","Nde1",0.761063678897606
